source_partner,source_country,destination_country,gsv
#####,Thailand,Bangladesh,14
#####,Thailand,Germany,164
#####,Thailand,Ghana,1917
#####,Thailand,India,85967
#####,Thailand,Indonesia,24894
#####,Thailand,Kenya,3903
#####,Thailand,Lithuania,11
#####,Thailand,Malaysia,15450
#####,Thailand,Pakistan,14149
#####,Thailand,Philippines,6913
#####,Thailand,Turkey,14314
#####,Thailand,Uganda,1
#####,Thailand,United Arab Emirates,1
#####,Thailand,United Kingdom,267
#####,Thailand,Viet Nam,4555
#####,Viet Nam,Australia,1
#####,Viet Nam,Hong Kong,1
#####,Viet Nam,"Korea, Republic of",1
#####,Viet Nam,Singapore,19900
#####,Viet Nam,United States of America,6
#####,Jordan,Bangladesh,2
#####,Jordan,Belgium,22431
#####,Jordan,Canada,29537
#####,Jordan,Denmark,1326
#####,Jordan,Germany,36988
#####,Jordan,Ireland,480
#####,Jordan,Italy,9063
#####,Jordan,Netherlands,2222
#####,Jordan,Pakistan,104
#####,Jordan,Philippines,576
#####,Jordan,Spain,4731
#####,Jordan,United Kingdom,94631
#####,Jordan,United States of America,58615
#####,South Africa,Botswana,178
#####,South Africa,"Congo, Democratic Republic of the",4
#####,South Africa,Kenya,98
#####,South Africa,Malawi,24
#####,South Africa,Mozambique,13
#####,South Africa,Nigeria,12
#####,South Africa,Zambia,328
#####,Chile,Bolivia (Plurinational State of),16254
#####,Chile,Colombia,1662752
#####,Chile,Haiti,9049
#####,Chile,Peru,2330
#####,Australia,Bangladesh,18102
#####,Australia,Cambodia,3
#####,Australia,Egypt,1419309
#####,Australia,Ethiopia,1
#####,Australia,India,4249
#####,Australia,Indonesia,25687
#####,Australia,Kenya,35589
#####,Australia,"Korea, Republic of",1
#####,Australia,Malaysia,8058
#####,Australia,Morocco,3
#####,Australia,Nepal,7
#####,Australia,Nigeria,6264
#####,Australia,Pakistan,93175
#####,Australia,Philippines,21120
#####,Australia,South Africa,5215
#####,Australia,Sri Lanka,12895
#####,Australia,Thailand,33
#####,Australia,Turkey,20140
#####,Australia,Viet Nam,5778
#####,Australia,Zimbabwe,516
#####,United States of America,Cameroon,22
#####,United States of America,Egypt,3
#####,United States of America,Ethiopia,2
#####,United States of America,Ghana,4982
#####,United States of America,Haiti,9
#####,United States of America,India,1
#####,United States of America,Kenya,5
#####,United States of America,Mexico,1
#####,United States of America,Philippines,3
#####,United States of America,Uganda,4
#####,Sierra Leone,Ghana,24089
#####,Sierra Leone,India,26440
#####,Sierra Leone,Italy,14
#####,Sierra Leone,Nigeria,1370
#####,Sierra Leone,Senegal,0
#####,Sierra Leone,Turkey,5
#####,Sierra Leone,United Arab Emirates,4
#####,Sierra Leone,United States of America,30
#####,Austria,Cameroon,1723
#####,Austria,Zambia,2712
#####,Belgium,Cameroon,4898
#####,Belgium,Ethiopia,109
