source_partner,source_country,destination_country,TerraPay_gsv,Partner_Gsv,existing/new,regional_director
#####,Thailand,Belgium,427520,,NEW,#####
#####,Thailand,France,551088,,NEW,#####
#####,Thailand,Germany,880674,164,EXISTING,#####
#####,Thailand,Ghana,731628,1917,EXISTING,#####
#####,Thailand,Malaysia,4188902,15450,EXISTING,#####
#####,Thailand,Netherlands,719208,,NEW,#####
#####,Thailand,Philippines,3321411,6913,EXISTING,#####
#####,Thailand,Uganda,1319703,1,EXISTING,#####
#####,Thailand,United Kingdom,3132619,267,EXISTING,#####
#####,Thailand,Viet Nam,1803492,4555,EXISTING,#####
#####,Viet Nam,India,33851,,NEW,#####
#####,Viet Nam,Kenya,48044,,NEW,#####
#####,Viet Nam,Singapore,19900,19900,EXISTING,#####
#####,Viet Nam,Uganda,43583,,NEW,#####
#####,Jordan,Bangladesh,7347374,2,EXISTING,#####
#####,Jordan,Egypt,135745,,NEW,#####
#####,Jordan,Germany,133658,36988,EXISTING,#####
#####,Jordan,Ghana,175038,,NEW,#####
#####,Jordan,India,102340,,NEW,#####
#####,Jordan,Malaysia,202859,,NEW,#####
#####,Jordan,Philippines,7252997,576,EXISTING,#####
#####,Jordan,Thailand,132574,,NEW,#####
#####,Jordan,Uganda,294838,,NEW,#####
#####,Jordan,United Kingdom,310273,94631,EXISTING,#####
#####,Chile,Belgium,483562,,NEW,#####
#####,Chile,Colombia,1541021,1662752,EXISTING,#####
#####,Chile,France,811178,,NEW,#####
#####,Chile,Germany,1148057,,NEW,#####
#####,Chile,India,335217,,NEW,#####
#####,Chile,Italy,440334,,NEW,#####
#####,Chile,Netherlands,239617,,NEW,#####
#####,Chile,Philippines,195318,,NEW,#####
#####,Chile,Portugal,400889,,NEW,#####
#####,Chile,Spain,8343013,,NEW,#####
#####,Australia,Bangladesh,40785924,18102,EXISTING,#####
#####,Australia,Germany,9418964,,NEW,#####
#####,Australia,Ghana,14536937,,NEW,#####
#####,Australia,India,1271119070,4249,EXISTING,#####
#####,Australia,Kenya,100661663,35589,EXISTING,#####
#####,Australia,Malaysia,45569162,8058,EXISTING,#####
#####,Australia,Philippines,51386339,21120,EXISTING,#####
#####,Australia,Uganda,10896328,,NEW,#####
#####,Australia,United Kingdom,46499428,,NEW,#####
#####,Australia,Viet Nam,86869347,5778,EXISTING,#####
#####,Sierra Leone,Bangladesh,50941,,NEW,#####
#####,Sierra Leone,Germany,35357,,NEW,#####
#####,Sierra Leone,Ghana,30603,24089,EXISTING,#####
#####,Sierra Leone,India,208035,26440,EXISTING,#####
#####,Sierra Leone,Italy,47177,14,EXISTING,#####
#####,Sierra Leone,Viet Nam,11872,,NEW,#####
#####,Denmark,Germany,864977,,NEW,#####
#####,Denmark,Ghana,2567470,,NEW,#####
#####,Denmark,India,3569341,,NEW,#####
#####,Denmark,Kenya,2760083,,NEW,#####
#####,Denmark,Lithuania,1502842,,NEW,#####
#####,Denmark,Philippines,1284717,,NEW,#####
#####,Denmark,Spain,1177926,,NEW,#####
#####,Denmark,Tanzania,1353769,,NEW,#####
#####,Denmark,Uganda,2340391,,NEW,#####
#####,Denmark,Viet Nam,14352709,,NEW,#####
#####,Finland,Belgium,948035,,NEW,#####
#####,Finland,Cameroon,565279,13024,EXISTING,#####
#####,Finland,Ghana,1382936,,NEW,#####
#####,Finland,India,6080900,,NEW,#####
#####,Finland,Kenya,3858971,,NEW,#####
#####,Finland,Lithuania,623591,,NEW,#####
#####,Finland,Philippines,819151,,NEW,#####
#####,Finland,Tanzania,529585,,NEW,#####
#####,Finland,Uganda,584818,,NEW,#####
#####,Finland,Viet Nam,17552969,,NEW,#####
#####,France,Bangladesh,111531105,,NEW,#####
#####,France,Belgium,124768513,,NEW,#####
#####,France,Benin,104948556,,NEW,#####
#####,France,Cameroon,117370792,6000,EXISTING,#####
#####,France,Côte d'Ivoire,89041027,,NEW,#####
#####,France,Mali,33372052,,NEW,#####
#####,France,Portugal,34615255,,NEW,#####
#####,France,Senegal,102909946,,NEW,#####
#####,France,Spain,55577069,,NEW,#####
#####,France,Viet Nam,50313113,,NEW,#####
#####,Germany,Bangladesh,28415599,,NEW,#####
#####,Germany,Belgium,23851252,,NEW,#####
#####,Germany,Cameroon,19613391,18242,EXISTING,#####
#####,Germany,Ghana,31083381,,NEW,#####
#####,Germany,India,21816642,,NEW,#####
#####,Germany,Kenya,53744055,,NEW,#####
#####,Germany,Lithuania,22385522,,NEW,#####
#####,Germany,Spain,16203785,,NEW,#####
#####,Germany,Uganda,11697389,,NEW,#####
#####,Germany,Viet Nam,196201152,,NEW,#####
#####,Ireland,Bangladesh,6573920,,NEW,#####
#####,Ireland,Cameroon,1064471,13987,EXISTING,#####
#####,Ireland,Ghana,1506933,,NEW,#####
#####,Ireland,India,14914217,,NEW,#####
#####,Ireland,Kenya,3488657,,NEW,#####
#####,Ireland,Philippines,4553250,,NEW,#####
#####,Ireland,Tanzania,868353,,NEW,#####
#####,Ireland,Uganda,855480,,NEW,#####
#####,Ireland,United Kingdom,2887196,,NEW,#####
#####,Ireland,Viet Nam,12851373,,NEW,#####
#####,Netherlands,Belgium,4022505,,NEW,#####
#####,Netherlands,Germany,1632824,,NEW,#####
#####,Netherlands,Ghana,6517659,,NEW,#####
#####,Netherlands,India,12648854,,NEW,#####
#####,Netherlands,Kenya,9326155,,NEW,#####
#####,Netherlands,Lithuania,1800413,,NEW,#####
#####,Netherlands,Spain,3140019,,NEW,#####
#####,Netherlands,Tanzania,2431465,,NEW,#####
#####,Netherlands,Uganda,3500740,,NEW,#####
#####,Netherlands,Viet Nam,24020121,,NEW,#####
#####,Poland,Bangladesh,3850984,,NEW,#####
#####,Poland,Ghana,1184585,,NEW,#####
#####,Poland,India,1852593,,NEW,#####
#####,Poland,Kenya,4258089,,NEW,#####
#####,Poland,Philippines,967225,,NEW,#####
#####,Poland,Rwanda,1152145,,NEW,#####
#####,Poland,Tanzania,1088741,,NEW,#####
#####,Poland,Uganda,1400091,,NEW,#####
#####,Poland,United Kingdom,4146818,,NEW,#####
#####,Poland,Viet Nam,32763697,,NEW,#####
#####,Sweden,Egypt,1996762,,NEW,#####
#####,Sweden,Germany,5383818,,NEW,#####
#####,Sweden,Ghana,3240007,,NEW,#####
#####,Sweden,India,3292289,,NEW,#####
#####,Sweden,Kenya,4653226,,NEW,#####
#####,Sweden,Spain,3539713,,NEW,#####
#####,Sweden,Tanzania,1989383,,NEW,#####
#####,Sweden,Uganda,5414617,,NEW,#####
#####,Sweden,United Kingdom,3011328,,NEW,#####
#####,Sweden,Viet Nam,22272680,,NEW,#####
#####,United Kingdom,Bangladesh,222801157,,NEW,#####
#####,United Kingdom,Ghana,184628486,,NEW,#####
#####,United Kingdom,India,722564261,,NEW,#####
#####,United Kingdom,Kenya,372996239,,NEW,#####
#####,United Kingdom,Pakistan,34877833,,NEW,#####
#####,United Kingdom,Philippines,57615497,,NEW,#####
#####,United Kingdom,Spain,36806984,,NEW,#####
#####,United Kingdom,Tanzania,52293484,,NEW,#####
#####,United Kingdom,Uganda,151640757,,NEW,#####
#####,United Kingdom,Viet Nam,130053730,,NEW,#####
#####,Uganda,Bangladesh,97875,,NEW,#####
#####,Uganda,Belgium,96208,,NEW,#####
#####,Uganda,Canada,103644,,NEW,#####
#####,Uganda,Germany,75032,,NEW,#####
#####,Uganda,India,16981444,,NEW,#####
#####,Uganda,Kenya,3799189,3433129,EXISTING,#####
#####,Uganda,Netherlands,44794,,NEW,#####
#####,Uganda,Spain,58319,,NEW,#####
#####,Uganda,Tanzania,81093,,NEW,#####
#####,Uganda,United Kingdom,852862,,NEW,#####
#####,Malaysia,Bangladesh,127020237,12,EXISTING,#####
#####,Malaysia,Germany,523692,,NEW,#####
#####,Malaysia,Ghana,1126550,,NEW,#####
#####,Malaysia,India,18147705,5,EXISTING,#####
#####,Malaysia,Indonesia,7123704,7090233,EXISTING,#####
#####,Malaysia,Kenya,2381057,,NEW,#####
#####,Malaysia,Philippines,13187307,1,EXISTING,#####
#####,Malaysia,Uganda,896036,,NEW,#####
#####,Malaysia,United Kingdom,654328,,NEW,#####
#####,Malaysia,Viet Nam,17636102,,NEW,#####
#####,Kuwait,Bangladesh,60585189,10082666,EXISTING,#####
#####,Kuwait,Benin,34784875,20073,EXISTING,#####
#####,Kuwait,Ghana,37199718,1665907,EXISTING,#####
#####,Kuwait,India,21755223,,NEW,#####
#####,Kuwait,Kenya,25964237,686574,EXISTING,#####
#####,Kuwait,Mali,5920978,,NEW,#####
#####,Kuwait,Pakistan,5999904,1512756,EXISTING,#####
#####,Kuwait,Philippines,37163503,622707,EXISTING,#####
#####,Kuwait,Thailand,6586277,,NEW,#####
#####,Kuwait,Uganda,12470721,41833,EXISTING,#####
#####,Jordan,Bangladesh,7347374,,NEW,#####
#####,Jordan,Egypt,135745,2,EXISTING,#####
#####,Jordan,Germany,133658,4,EXISTING,#####
#####,Jordan,Ghana,175038,,NEW,#####
#####,Jordan,India,102340,1,EXISTING,#####
#####,Jordan,Malaysia,202859,,NEW,#####
#####,Jordan,Philippines,7252997,,NEW,#####
#####,Jordan,Thailand,132574,,NEW,#####
#####,Jordan,Uganda,294838,,NEW,#####
#####,Jordan,United Kingdom,310273,70120,EXISTING,#####
#####,Qatar,Bangladesh,191208238,23652508,EXISTING,#####
#####,Qatar,Ghana,74195942,14794032,EXISTING,#####
#####,Qatar,India,1364429345,5,EXISTING,#####
#####,Qatar,Kenya,199406963,71929182,EXISTING,#####
#####,Qatar,Malaysia,80500570,573942,EXISTING,#####
#####,Qatar,Nepal,7123914,1607244,EXISTING,#####
#####,Qatar,Nigeria,8543471,73752,EXISTING,#####
#####,Qatar,Philippines,45528278,2,EXISTING,#####
#####,Qatar,Thailand,17414674,,NEW,#####
#####,Qatar,Uganda,100836860,19875443,EXISTING,#####
#####,Qatar,Bangladesh,191208238,5,EXISTING,#####
#####,Qatar,Ghana,74195942,0,EXISTING,#####
#####,Qatar,India,1364429345,3,EXISTING,#####
#####,Qatar,Kenya,199406963,,NEW,#####
#####,Qatar,Malaysia,80500570,2,EXISTING,#####
#####,Qatar,Nepal,7123914,2,EXISTING,#####
#####,Qatar,Nigeria,8543471,,NEW,#####
#####,Qatar,Philippines,45528278,3,EXISTING,#####
#####,Qatar,Thailand,17414674,,NEW,#####
#####,Qatar,Uganda,100836860,20703,EXISTING,#####
#####,Qatar,Bangladesh,191208238,4966926,EXISTING,#####
#####,Qatar,Ghana,74195942,12,EXISTING,#####
#####,Qatar,India,1364429345,264181,EXISTING,#####
#####,Qatar,Kenya,199406963,11302,EXISTING,#####
#####,Qatar,Malaysia,80500570,,NEW,#####
#####,Qatar,Nepal,7123914,3061942,EXISTING,#####
#####,Qatar,Nigeria,8543471,0,EXISTING,#####
#####,Qatar,Philippines,45528278,32499,EXISTING,#####
#####,Qatar,Thailand,17414674,,NEW,#####
#####,Qatar,Uganda,100836860,5,EXISTING,#####
#####,Kuwait,Bangladesh,60585189,724325,EXISTING,#####
#####,Kuwait,Benin,34784875,27460329,EXISTING,#####
#####,Kuwait,Ghana,37199718,20636943,EXISTING,#####
#####,Kuwait,India,21755223,,NEW,#####
#####,Kuwait,Kenya,25964237,9290558,EXISTING,#####
#####,Kuwait,Mali,5920978,4481892,EXISTING,#####
#####,Kuwait,Pakistan,5999904,,NEW,#####
#####,Kuwait,Philippines,37163503,412742,EXISTING,#####
#####,Kuwait,Thailand,6586277,5870875,EXISTING,#####
#####,Kuwait,Uganda,12470721,6520258,EXISTING,#####
#####,Kuwait,Bangladesh,60585189,5211127,EXISTING,#####
#####,Kuwait,Benin,34784875,228865,EXISTING,#####
#####,Kuwait,Ghana,37199718,132964,EXISTING,#####
#####,Kuwait,India,21755223,260453,EXISTING,#####
#####,Kuwait,Kenya,25964237,38278,EXISTING,#####
#####,Kuwait,Mali,5920978,96930,EXISTING,#####
#####,Kuwait,Pakistan,5999904,1758080,EXISTING,#####
#####,Kuwait,Philippines,37163503,11094390,EXISTING,#####
#####,Kuwait,Thailand,6586277,1820,EXISTING,#####
#####,Kuwait,Uganda,12470721,458091,EXISTING,#####
#####,Canada,Bangladesh,19317938,3,EXISTING,#####
#####,Canada,Benin,22477592,,NEW,#####
#####,Canada,Cameroon,18872246,,NEW,#####
#####,Canada,Ghana,57154456,,NEW,#####
#####,Canada,India,211296069,152801,EXISTING,#####
#####,Canada,Kenya,29951383,,NEW,#####
#####,Canada,Philippines,57990615,,NEW,#####
#####,Canada,Tanzania,18091580,,NEW,#####
#####,Canada,Uganda,27682200,,NEW,#####
#####,Canada,Viet Nam,37930649,6,EXISTING,#####
#####,United Arab Emirates,Bangladesh,39836052,,NEW,#####
#####,United Arab Emirates,France,15635606,,NEW,#####
#####,United Arab Emirates,Germany,16482871,3948,EXISTING,#####
#####,United Arab Emirates,Ghana,74563964,,NEW,#####
#####,United Arab Emirates,India,248146952,5,EXISTING,#####
#####,United Arab Emirates,Kenya,78653029,,NEW,#####
#####,United Arab Emirates,Malaysia,28856080,3403,EXISTING,#####
#####,United Arab Emirates,Philippines,107484030,,NEW,#####
#####,United Arab Emirates,Uganda,201261045,,NEW,#####
#####,United Arab Emirates,United Kingdom,83094300,47652,EXISTING,#####
#####,Iraq,Bangladesh,1244243,68320,EXISTING,#####
#####,Iraq,Belgium,648242,,NEW,#####
#####,Iraq,Egypt,1197853,729563,EXISTING,#####
#####,Iraq,Germany,970511,,NEW,#####
#####,Iraq,Ghana,523910,,NEW,#####
#####,Iraq,Lithuania,373328,,NEW,#####
#####,Iraq,Malaysia,553331,27338,EXISTING,#####
#####,Iraq,Netherlands,260680,,NEW,#####
#####,Iraq,Spain,552536,,NEW,#####
#####,Iraq,Uganda,3793981,49105,EXISTING,#####
#####,Qatar,Bangladesh,191208238,86968,EXISTING,#####
#####,Qatar,Ghana,74195942,,NEW,#####
#####,Qatar,India,1364429345,1175358,EXISTING,#####
#####,Qatar,Kenya,199406963,2,EXISTING,#####
#####,Qatar,Malaysia,80500570,2,EXISTING,#####
#####,Qatar,Nepal,7123914,356941,EXISTING,#####
#####,Qatar,Nigeria,8543471,,NEW,#####
#####,Qatar,Philippines,45528278,,NEW,#####
#####,Qatar,Thailand,17414674,,NEW,#####
#####,Qatar,Uganda,100836860,5999,EXISTING,#####
#####,Kuwait,Bangladesh,60585189,592648,EXISTING,#####
#####,Kuwait,Benin,34784875,166,EXISTING,#####
#####,Kuwait,Ghana,37199718,30,EXISTING,#####
#####,Kuwait,India,21755223,12362,EXISTING,#####
#####,Kuwait,Kenya,25964237,5397,EXISTING,#####
#####,Kuwait,Mali,5920978,,NEW,#####
#####,Kuwait,Pakistan,5999904,,NEW,#####
#####,Kuwait,Philippines,37163503,135777,EXISTING,#####
#####,Kuwait,Thailand,6586277,12398,EXISTING,#####
#####,Kuwait,Uganda,12470721,1327,EXISTING,#####
#####,Australia,Bangladesh,40785924,,NEW,#####
#####,Australia,Germany,9418964,276,EXISTING,#####
#####,Australia,Ghana,14536937,47,EXISTING,#####
#####,Australia,India,1271119070,366931,EXISTING,#####
#####,Australia,Kenya,100661663,10,EXISTING,#####
#####,Australia,Malaysia,45569162,0,EXISTING,#####
#####,Australia,Philippines,51386339,270,EXISTING,#####
#####,Australia,Uganda,10896328,29,EXISTING,#####
#####,Australia,United Kingdom,46499428,3610,EXISTING,#####
#####,Australia,Viet Nam,86869347,109,EXISTING,#####
#####,United Kingdom,Bangladesh,222801157,912,EXISTING,#####
#####,United Kingdom,Ghana,184628486,,NEW,#####
#####,United Kingdom,India,722564261,941272,EXISTING,#####
#####,United Kingdom,Kenya,372996239,18259,EXISTING,#####
#####,United Kingdom,Pakistan,34877833,12110,EXISTING,#####
#####,United Kingdom,Philippines,57615497,2188,EXISTING,#####
#####,United Kingdom,Spain,36806984,8526,EXISTING,#####
#####,United Kingdom,Tanzania,52293484,,NEW,#####
#####,United Kingdom,Uganda,151640757,,NEW,#####
#####,United Kingdom,Viet Nam,130053730,,NEW,#####
#####,Australia,Bangladesh,40785924,32895,EXISTING,#####
#####,Australia,Germany,9418964,,NEW,#####
#####,Australia,Ghana,14536937,119411,EXISTING,#####
#####,Australia,India,1271119070,,NEW,#####
#####,Australia,Kenya,100661663,317761,EXISTING,#####
#####,Australia,Malaysia,45569162,,NEW,#####
#####,Australia,Philippines,51386339,,NEW,#####
#####,Australia,Uganda,10896328,2719,EXISTING,#####
#####,Australia,United Kingdom,46499428,,NEW,#####
#####,Australia,Viet Nam,86869347,,NEW,#####
#####,Austria,Belgium,1279334,,NEW,#####
#####,Austria,Germany,1531128,,NEW,#####
#####,Austria,Ghana,1537127,100908,EXISTING,#####
#####,Austria,India,2376041,,NEW,#####
#####,Austria,Kenya,3481210,598072,EXISTING,#####
#####,Austria,Lithuania,1188993,,NEW,#####
#####,Austria,Spain,1181866,,NEW,#####
#####,Austria,Tanzania,1705548,1750,EXISTING,#####
#####,Austria,Uganda,1192442,27,EXISTING,#####
#####,Austria,Viet Nam,10212358,,NEW,#####
#####,Belgium,Cameroon,10109659,,NEW,#####
#####,Belgium,Ghana,29171096,59834,EXISTING,#####
#####,Belgium,Kenya,161955084,155195,EXISTING,#####
#####,Belgium,Portugal,10621106,,NEW,#####
#####,Belgium,Senegal,8884827,420,EXISTING,#####
#####,Belgium,South Africa,6868936,,NEW,#####
#####,Belgium,Spain,9814611,,NEW,#####
#####,Belgium,Tanzania,15670037,1030,EXISTING,#####
#####,Belgium,Uganda,19534811,6221,EXISTING,#####
#####,Belgium,Viet Nam,9999327,,NEW,#####
#####,Canada,Bangladesh,19317938,2109,EXISTING,#####
#####,Canada,Benin,22477592,,NEW,#####
#####,Canada,Cameroon,18872246,,NEW,#####
#####,Canada,Ghana,57154456,,NEW,#####
#####,Canada,India,211296069,,NEW,#####
#####,Canada,Kenya,29951383,22462,EXISTING,#####
#####,Canada,Philippines,57990615,,NEW,#####
#####,Canada,Tanzania,18091580,26331,EXISTING,#####
#####,Canada,Uganda,27682200,,NEW,#####
#####,Canada,Viet Nam,37930649,,NEW,#####
#####,Cyprus,Bangladesh,21581700,3130,EXISTING,#####
#####,Cyprus,Belgium,477001,,NEW,#####
#####,Cyprus,Ghana,180382,32875,EXISTING,#####
#####,Cyprus,India,5446731,,NEW,#####
#####,Cyprus,Kenya,308854,479,EXISTING,#####
#####,Cyprus,Liberia,494641,,NEW,#####
#####,Cyprus,Lithuania,632317,,NEW,#####
#####,Cyprus,Philippines,682565,,NEW,#####
#####,Cyprus,Uganda,234702,,NEW,#####
#####,Cyprus,Viet Nam,259083,,NEW,#####
#####,Denmark,Germany,864977,,NEW,#####
#####,Denmark,Ghana,2567470,55215,EXISTING,#####
#####,Denmark,India,3569341,,NEW,#####
#####,Denmark,Kenya,2760083,115429,EXISTING,#####
#####,Denmark,Lithuania,1502842,,NEW,#####
#####,Denmark,Philippines,1284717,,NEW,#####
#####,Denmark,Spain,1177926,,NEW,#####
#####,Denmark,Tanzania,1353769,7346,EXISTING,#####
#####,Denmark,Uganda,2340391,30,EXISTING,#####
#####,Denmark,Viet Nam,14352709,,NEW,#####
#####,Finland,Belgium,948035,,NEW,#####
#####,Finland,Cameroon,565279,,NEW,#####
#####,Finland,Ghana,1382936,61448,EXISTING,#####
#####,Finland,India,6080900,,NEW,#####
#####,Finland,Kenya,3858971,279355,EXISTING,#####
#####,Finland,Lithuania,623591,,NEW,#####
#####,Finland,Philippines,819151,,NEW,#####
#####,Finland,Tanzania,529585,2293,EXISTING,#####
#####,Finland,Uganda,584818,5073,EXISTING,#####
#####,Finland,Viet Nam,17552969,,NEW,#####
#####,France,Bangladesh,111531105,6575,EXISTING,#####
#####,France,Belgium,124768513,,NEW,#####
#####,France,Benin,104948556,,NEW,#####
#####,France,Cameroon,117370792,,NEW,#####
#####,France,Côte d'Ivoire,89041027,,NEW,#####
#####,France,Mali,33372052,20558,EXISTING,#####
#####,France,Portugal,34615255,,NEW,#####
#####,France,Senegal,102909946,27476,EXISTING,#####
#####,France,Spain,55577069,,NEW,#####
#####,France,Viet Nam,50313113,,NEW,#####
#####,Germany,Bangladesh,28415599,34136,EXISTING,#####
#####,Germany,Belgium,23851252,,NEW,#####
#####,Germany,Cameroon,19613391,,NEW,#####
#####,Germany,Ghana,31083381,1036327,EXISTING,#####
#####,Germany,India,21816642,,NEW,#####
#####,Germany,Kenya,53744055,5707769,EXISTING,#####
#####,Germany,Lithuania,22385522,,NEW,#####
#####,Germany,Spain,16203785,,NEW,#####
#####,Germany,Uganda,11697389,100708,EXISTING,#####
#####,Germany,Viet Nam,196201152,,NEW,#####
#####,Ireland,Bangladesh,6573920,2429,EXISTING,#####
#####,Ireland,Cameroon,1064471,,NEW,#####
#####,Ireland,Ghana,1506933,78708,EXISTING,#####
#####,Ireland,India,14914217,,NEW,#####
#####,Ireland,Kenya,3488657,248282,EXISTING,#####
#####,Ireland,Philippines,4553250,,NEW,#####
#####,Ireland,Tanzania,868353,1182,EXISTING,#####
#####,Ireland,Uganda,855480,793,EXISTING,#####
#####,Ireland,United Kingdom,2887196,,NEW,#####
#####,Ireland,Viet Nam,12851373,,NEW,#####
#####,Italy,Bangladesh,52000519,8520,EXISTING,#####
#####,Italy,Belgium,19369638,,NEW,#####
#####,Italy,Côte d'Ivoire,17442241,,NEW,#####
#####,Italy,Ghana,49485082,141701,EXISTING,#####
#####,Italy,India,59836231,,NEW,#####
#####,Italy,Lithuania,19508894,,NEW,#####
#####,Italy,Mali,29144401,,NEW,#####
#####,Italy,Philippines,41476786,,NEW,#####
#####,Italy,Senegal,107568081,1952,EXISTING,#####
#####,Italy,Spain,16227818,,NEW,#####
#####,Luxembourg,Belgium,921276,,NEW,#####
#####,Luxembourg,Benin,447710,,NEW,#####
#####,Luxembourg,Cameroon,1271317,,NEW,#####
#####,Luxembourg,Côte d'Ivoire,351561,,NEW,#####
#####,Luxembourg,India,719525,,NEW,#####
#####,Luxembourg,Kenya,380791,4582,EXISTING,#####
#####,Luxembourg,Portugal,1161120,,NEW,#####
#####,Luxembourg,Senegal,1632435,67,EXISTING,#####
#####,Luxembourg,Spain,363579,,NEW,#####
#####,Luxembourg,Viet Nam,752670,,NEW,#####
#####,Malta,Bangladesh,1654213,1523,EXISTING,#####
#####,Malta,Belgium,426831,,NEW,#####
#####,Malta,Ghana,1133504,12039,EXISTING,#####
#####,Malta,India,5768944,,NEW,#####
#####,Malta,Italy,658892,,NEW,#####
#####,Malta,Kenya,597665,2361,EXISTING,#####
#####,Malta,Lithuania,270791,,NEW,#####
#####,Malta,Philippines,250502,,NEW,#####
