source_country,destination_country,gsv
Ã…land Islands,Viet Nam,85001
Ã…land Islands,Kenya,15868
Ã…land Islands,Ghana,197
Afghanistan,Luxembourg,1502
Afghanistan,France,1214
Afghanistan,Italy,598
Afghanistan,Belgium,359
Albania,Belgium,87582
Albania,Germany,80383
Albania,Ghana,59511
Albania,Austria,48564
Albania,Italy,47369
Albania,Viet Nam,40428
Albania,Kenya,24127
Albania,France,22272
Albania,Spain,20066
Albania,Portugal,15137
Albania,India,10320
Albania,Lithuania,9161
Albania,Netherlands,7239
Albania,Finland,2197
Albania,Uganda,35
Algeria,Viet Nam,10516
Algeria,Kenya,6062
Algeria,Uganda,1903
Algeria,Ghana,1156
American Samoa,Philippines,64438
American Samoa,Viet Nam,22707
American Samoa,France,2708
American Samoa,Ghana,1099
American Samoa,Kenya,1042
Andorra,Viet Nam,592918
Andorra,Kenya,30573
Andorra,France,3318
Andorra,Portugal,1749
Andorra,Germany,552
Andorra,Colombia,392
Andorra,Benin,68
Angola,Portugal,9679376
Angola,Viet Nam,384061
Angola,Belgium,102611
Angola,Spain,46470
Angola,Kenya,32969
Angola,Lithuania,25811
Angola,Germany,16789
Angola,Luxembourg,13020
Angola,Italy,8579
Angola,France,6434
Angola,South Africa,5398
Angola,India,5304
Angola,Ghana,1777
Angola,Netherlands,1085
Angola,Bangladesh,1047
Angola,Tanzania,377
Angola,Finland,217
Angola,China,4
Angola,Mali,2
Angola,Cameroon,1
Angola,CÃ´te d'Ivoire,1
Angola,Central African Republic,1
Angola,Mozambique,1
Angola,Zambia,1
Angola,"Congo, Democratic Republic of the",1
Angola,Guinea-Bissau,1
Angola,Brazil,1
Angola,United Arab Emirates,1
Angola,Turkey,1
Angola,Congo,1
Angola,Indonesia,1
Angola,Guinea,1
Angola,Philippines,1
Angola,Senegal,1
Anguilla,India,47668
Anguilla,Ghana,30050
Anguilla,France,29259
Anguilla,Portugal,24163
Anguilla,Belgium,22037
Anguilla,Netherlands,5332
Anguilla,Italy,947
Antigua and Barbuda,India,37753
Antigua and Barbuda,France,32947
Antigua and Barbuda,Ghana,10386
Antigua and Barbuda,Cameroon,6579
Antigua and Barbuda,Spain,4098
Antigua and Barbuda,Belgium,3959
Antigua and Barbuda,Viet Nam,2942
Antigua and Barbuda,Kenya,1926
Antigua and Barbuda,Germany,1094
Antigua and Barbuda,Lithuania,1034
Antigua and Barbuda,Italy,388
Antigua and Barbuda,Latvia,326
Argentina,Spain,10029178
Argentina,Italy,3264381
Argentina,Germany,1158204
Argentina,France,608327
Argentina,Senegal,598571
Argentina,Portugal,546387
Argentina,Belgium,445365
Argentina,Lithuania,229483
Argentina,Netherlands,146402
Argentina,Austria,59770
Argentina,Kenya,29277
Argentina,Viet Nam,26530
Argentina,Finland,18331
Argentina,Tanzania,13881
Argentina,Luxembourg,9714
Argentina,Philippines,3971
Argentina,Ghana,3582
Argentina,Ireland,3564
Argentina,Estonia,2925
Argentina,Colombia,2863
Argentina,South Africa,1896
Argentina,Mozambique,1671
Argentina,Benin,937
Argentina,CÃ´te d'Ivoire,860
Argentina,Malaysia,577
Argentina,Cameroon,473
Argentina,Uganda,467
Argentina,Zimbabwe,20
Argentina,United Kingdom,19
Argentina,Sierra Leone,4
Armenia,Viet Nam,24307
Armenia,Ghana,16461
Armenia,Kenya,14989
Armenia,Tanzania,288
Aruba,Netherlands,532548
Aruba,Belgium,37645
Aruba,India,31670
Aruba,Spain,27705
Aruba,Viet Nam,23922
Aruba,Philippines,9323
Aruba,France,8773
Aruba,Malaysia,5553
Aruba,Italy,3315
Aruba,Ireland,2459
Aruba,Germany,874
Aruba,Portugal,391
Aruba,Colombia,233
Australia,India,1271119070
Australia,Kenya,100661663
Australia,Viet Nam,86869347
Australia,Philippines,51386339
Australia,United Kingdom,46499428
Australia,Malaysia,45569162
Australia,Bangladesh,40785924
Australia,Ghana,14536937
Australia,Uganda,10896328
Australia,Germany,9418964
Australia,Italy,6813343
Australia,Spain,6065419
Australia,France,5110933
Australia,Tanzania,4816027
Australia,Egypt,4652375
Australia,Portugal,3037994
Australia,South Africa,2822450
Australia,Netherlands,2713090
Australia,Belgium,1585194
Australia,Liberia,1454262
Australia,Cameroon,1307870
Australia,Benin,1035508
Australia,Lithuania,1029534
Australia,Austria,1011638
Australia,Finland,662862
Australia,Zimbabwe,631764
Australia,Senegal,533160
Australia,"Congo, Democratic Republic of the",515503
Australia,CÃ´te d'Ivoire,508366
Australia,Mongolia,278797
Australia,Mozambique,247724
Australia,Nepal,241667
Australia,Indonesia,205463
Australia,Latvia,182388
Australia,Ireland,163467
Australia,Estonia,160203
Australia,China,159846
Australia,Mali,118247
Australia,Luxembourg,111751
Australia,Pakistan,109208
Australia,Malawi,70819
Australia,Zambia,65904
Australia,Guinea,64989
Australia,Burundi,52762
Australia,Gabon,51594
Australia,Sierra Leone,48443
Australia,Cyprus,45064
Australia,Rwanda,39368
Australia,Colombia,27903
Australia,Turkey,21879
Australia,Sri Lanka,19383
Australia,Malta,16423
Australia,United Arab Emirates,16375
Australia,South Sudan,15629
Australia,"Korea, Republic of",14901
Australia,Singapore,14030
Australia,Burkina Faso,13985
Australia,Thailand,8216
Australia,Bulgaria,6981
Australia,Nigeria,6279
Australia,Gambia,6139
Australia,Cambodia,5455
Australia,Togo,2223
Australia,Guinea-Bissau,135
Australia,Croatia,73
Australia,Ethiopia,3
Australia,Morocco,3
Australia,Brazil,2
Australia,United States of America,2
Australia,Hong Kong,2
Australia,Botswana,1
Australia,Mexico,1
Austria,Austria,17860632
Austria,Viet Nam,10212358
Austria,Kenya,3481210
Austria,India,2376041
Austria,Tanzania,1705548
Austria,Ghana,1537127
Austria,Germany,1531128
Austria,Belgium,1279334
Austria,Uganda,1192442
Austria,Lithuania,1188993
Austria,Spain,1181866
Austria,Portugal,607081
Austria,Italy,574305
Austria,Bangladesh,455853
Austria,Philippines,455335
Austria,Cameroon,369969
Austria,Benin,327325
Austria,France,307354
Austria,Egypt,232011
Austria,Senegal,186081
Austria,CÃ´te d'Ivoire,172691
Austria,Netherlands,155416
Austria,Mongolia,154969
Austria,"Congo, Democratic Republic of the",61133
Austria,Latvia,48807
Austria,Malaysia,48347
Austria,Mozambique,35155
Austria,Finland,34082
Austria,Ireland,33503
Austria,Luxembourg,31237
Austria,Burkina Faso,25503
Austria,Rwanda,24672
Austria,South Africa,19626
Austria,Mali,19418
Austria,Liberia,16535
Austria,Cyprus,10410
Austria,Indonesia,10311
Austria,Sierra Leone,9712
Austria,Guinea,9104
Austria,Estonia,8002
Austria,Zimbabwe,7093
Austria,Zambia,6343
Austria,Gambia,5551
Austria,Bulgaria,4872
Austria,Tunisia,3309
Austria,Brazil,1316
Austria,Malta,1131
Austria,Ethiopia,1124
Austria,Burundi,1088
Austria,Malawi,953
Austria,Colombia,696
Austria,Gabon,694
Austria,Guinea-Bissau,175
Azerbaijan,Germany,101529
Azerbaijan,Lithuania,77090
Azerbaijan,France,50939
Azerbaijan,Austria,48882
Azerbaijan,Spain,42393
Azerbaijan,Italy,34719
Azerbaijan,Finland,32741
Azerbaijan,Belgium,23815
Azerbaijan,India,10156
Azerbaijan,Netherlands,6541
Azerbaijan,Latvia,5633
Azerbaijan,Portugal,5454
Azerbaijan,Luxembourg,3363
Azerbaijan,Viet Nam,3056
Azerbaijan,Kenya,1953
Azerbaijan,Egypt,500
Azerbaijan,Estonia,394
Bahamas,Ghana,118578
Bahamas,Viet Nam,52764
Bahamas,Kenya,23791
Bahamas,Germany,15750
Bahamas,Portugal,14848
Bahamas,Uganda,11682
Bahamas,Spain,9328
Bahamas,Italy,5377
Bahamas,Tanzania,4253
Bahamas,Belgium,4232
Bahamas,France,4016
Bahamas,Austria,2625
Bahamas,Malaysia,838
Bahamas,Philippines,538
Bahamas,Luxembourg,390
Bahamas,Netherlands,388
Bahrain,Bangladesh,205631976
Bahrain,Thailand,67533964
Bahrain,India,30113015
Bahrain,Kenya,28674621
Bahrain,Uganda,26873683
Bahrain,Ghana,15374036
Bahrain,Philippines,8465479
Bahrain,Cameroon,4956559
Bahrain,Pakistan,3662759
Bahrain,Malaysia,2304540
Bahrain,Nepal,1710992
Bahrain,Indonesia,1325150
Bahrain,Turkey,1164217
Bahrain,Morocco,1011372
Bahrain,Nigeria,1005874
Bahrain,United Kingdom,537250
Bahrain,Tanzania,512973
Bahrain,Egypt,453912
Bahrain,United Arab Emirates,427540
Bahrain,Senegal,341100
Bahrain,Ethiopia,305316
Bahrain,France,288113
Bahrain,Mali,134800
Bahrain,Belgium,108955
Bahrain,Portugal,108141
Bahrain,Germany,93811
Bahrain,Spain,90805
Bahrain,Netherlands,70081
Bahrain,Zimbabwe,68554
Bahrain,Cyprus,65249
Bahrain,Rwanda,63789
Bahrain,Finland,58037
Bahrain,Sri Lanka,57779
Bahrain,South Africa,56834
Bahrain,Viet Nam,53984
Bahrain,Italy,51816
Bahrain,Lithuania,50766
Bahrain,Gambia,49339
Bahrain,Ireland,28110
Bahrain,Togo,20230
Bahrain,Benin,14904
Bahrain,Tunisia,11172
Bahrain,CÃ´te d'Ivoire,10240
Bahrain,United States of America,10015
Bahrain,Malta,8628
Bahrain,Slovakia,8472
Bahrain,Sierra Leone,6908
Bahrain,Austria,6272
Bahrain,China,4967
Bahrain,Estonia,3700
Bahrain,Singapore,1017
Bahrain,Croatia,857
Bahrain,Greece,439
Bahrain,Burkina Faso,420
Bahrain,Malawi,319
Bahrain,Hong Kong,129
Bahrain,Zambia,53
Bahrain,Guinea,53
Bahrain,Jordan,32
Bahrain,Russian Federation,24
Bahrain,Liberia,10
Bahrain,Canada,4
Bangladesh,Viet Nam,152894
Bangladesh,Kenya,129472
Bangladesh,Tanzania,13174
Bangladesh,Uganda,9423
Bangladesh,Pakistan,1284
Bangladesh,Ghana,306
Bangladesh,"Congo, Democratic Republic of the",245
Bangladesh,Bangladesh,214
Bangladesh,Mozambique,53
Bangladesh,Germany,2
Barbados,India,128427
Barbados,Netherlands,74822
Barbados,Ghana,20624
Barbados,Lithuania,6545
Barbados,Viet Nam,6277
Barbados,Kenya,6132
Barbados,Portugal,4290
Barbados,Germany,1673
Barbados,Uganda,1256
Barbados,Italy,1142
Barbados,France,820
Barbados,Belgium,597
Barbados,Finland,436
Barbados,Spain,142
Belarus,Germany,48238
Belarus,Lithuania,24196
Belarus,Latvia,17660
Belarus,Italy,8277
Belarus,Spain,7542
Belarus,Netherlands,3936
Belarus,France,3176
Belarus,Austria,3146
Belarus,Belgium,2193
Belarus,Portugal,1904
Belarus,Estonia,1867
Belarus,Viet Nam,390
Belarus,Ghana,122
Belarus,Malaysia,97
Belgium,Kenya,161955084
Belgium,Belgium,96519675
Belgium,Ghana,29171096
Belgium,Uganda,19534811
Belgium,Tanzania,15670037
Belgium,Portugal,10621106
Belgium,Cameroon,10109659
Belgium,Viet Nam,9999327
Belgium,Spain,9814611
Belgium,Senegal,8884827
Belgium,South Africa,6868936
Belgium,"Congo, Democratic Republic of the",6273262
Belgium,Lithuania,5425317
Belgium,India,4478563
Belgium,Benin,4195650
Belgium,Germany,4110238
Belgium,CÃ´te d'Ivoire,3235293
Belgium,Italy,2058589
Belgium,France,1696598
Belgium,Philippines,1664592
Belgium,Netherlands,1562562
Belgium,Bangladesh,847037
Belgium,Mali,517640
Belgium,Mozambique,458606
Belgium,Brazil,361049
Belgium,Burkina Faso,204199
Belgium,Gabon,196530
Belgium,Egypt,192116
Belgium,Luxembourg,187204
Belgium,Finland,166534
Belgium,Rwanda,138794
Belgium,Austria,117289
Belgium,Liberia,102476
Belgium,Haiti,88198
Belgium,Mongolia,72209
Belgium,Latvia,70652
Belgium,Malaysia,67787
Belgium,Bulgaria,47813
Belgium,Estonia,39792
Belgium,Zimbabwe,33330
Belgium,Guinea,32614
Belgium,Gambia,28083
Belgium,Burundi,25014
Belgium,Zambia,14844
Belgium,Indonesia,13116
Belgium,Ethiopia,11416
Belgium,Nepal,8552
Belgium,United Kingdom,8523
Belgium,Ireland,7722
Belgium,Guinea-Bissau,6985
Belgium,Colombia,4810
Belgium,Nigeria,4621
Belgium,Pakistan,4088
Belgium,United States of America,3748
Belgium,Poland,3216
Belgium,Sierra Leone,3044
Belgium,Tunisia,2592
Belgium,Togo,1411
Belgium,Malawi,744
Belgium,Peru,702
Belgium,Bolivia (Plurinational State of),576
Belgium,Thailand,559
Belgium,Switzerland,547
Belgium,Madagascar,437
Belgium,Congo,428
Belgium,Cyprus,324
Belgium,Croatia,222
Belgium,Sri Lanka,101
Belgium,Greece,56
Belgium,Chad,2
Belize,India,595103
Belize,Spain,19892
Belize,Viet Nam,8619
Belize,Germany,4024
Belize,Italy,1897
Belize,Ghana,680
Belize,Lithuania,475
Belize,Netherlands,469
Belize,Tanzania,438
Belize,France,430
Benin,France,759524
Benin,Belgium,48055
Benin,Lithuania,31957
Benin,CÃ´te d'Ivoire,9074
Benin,Senegal,7984
Benin,Ghana,5554
Benin,Benin,4751
Benin,Germany,3178
Benin,Kenya,3092
Benin,Gabon,2699
Benin,India,1654
Benin,Cameroon,1473
Benin,Viet Nam,1177
Benin,Mali,828
Benin,Spain,335
Bermuda,Kenya,345395
Bermuda,Tanzania,62591
Bermuda,Uganda,45332
Bermuda,Viet Nam,100
Bermuda,Ghana,23
Bolivia (Plurinational State of),Spain,455200
Bolivia (Plurinational State of),United States of America,423868
Bolivia (Plurinational State of),Belgium,215292
Bolivia (Plurinational State of),France,92651
Bolivia (Plurinational State of),Germany,81163
Bolivia (Plurinational State of),Netherlands,81088
Bolivia (Plurinational State of),Italy,32409
Bolivia (Plurinational State of),Portugal,3539
Bolivia (Plurinational State of),Finland,3192
Bolivia (Plurinational State of),Viet Nam,2442
Bolivia (Plurinational State of),Austria,2034
Bolivia (Plurinational State of),Luxembourg,648
Bolivia (Plurinational State of),Ghana,98
Bolivia (Plurinational State of),Kenya,59
Bolivia (Plurinational State of),Tanzania,27
Bolivia (Plurinational State of),Lithuania,9
Bosnia and Herzegovina,Viet Nam,11622
Bosnia and Herzegovina,Kenya,4087
Bosnia and Herzegovina,Tanzania,2383
Bosnia and Herzegovina,Uganda,1464
Botswana,India,7977245
Botswana,Bangladesh,3612331
Botswana,Pakistan,2638309
Botswana,Philippines,1000707
Botswana,Sri Lanka,639244
Botswana,Kenya,178074
Botswana,Zambia,124099
Botswana,Zimbabwe,122584
Botswana,Mozambique,26217
Botswana,Ghana,19889
Botswana,United Kingdom,18396
Botswana,Malawi,10500
Botswana,Nigeria,8971
Botswana,Tanzania,8054
Botswana,Uganda,3922
Botswana,Nepal,619
Botswana,South Africa,148
Botswana,Rwanda,68
Botswana,China,11
Brazil,Portugal,48885983
Brazil,Spain,10310856
